config_id,h,eta,moment_max,interior_branch_margin,saturated_branch_margin,baseline_link_margin,derivative_ratio_margin
delta0.5_K32_radius1_transverse,0.06195842019672743,0.02500000000000001,0.18752544052227166,0.1861131396474566,0.6841722465187424,0.03438008427698437,0.12402407293122353
delta0.5_K32_radius0.125_transverse,0.007744802524590929,0.003125000000000001,0.1690612044609795,0.3595967161982934,0.7708293811349888,0.03438008427698437,0.12402407293122353
delta0.5_K32_radius0.015625_transverse,0.0009681003155738661,0.00039062500000000013,0.16679834746211247,0.38128216326714803,0.7816615229620197,0.03438008427698437,0.12402407293122353
delta0.5_K128_radius1_transverse,0.06230718827862129,0.02500000000000001,0.18607294338065805,0.1967108269793314,0.6963351734565321,0.046093829470919494,0.12493896732719101
delta0.5_K128_radius0.125_transverse,0.0077883985348276615,0.003125000000000001,0.16765816597287658,0.371170954159471,0.7835599131626715,0.046093829470919494,0.12493896732719101
delta0.5_K128_radius0.015625_transverse,0.0009735498168534577,0.00039062500000000013,0.16540161444187448,0.3929784700569885,0.7944630056259389,0.046093829470919494,0.12493896732719101
delta0.5_K512_radius1_transverse,0.06243166110563332,0.02500000000000001,0.18555939052908008,0.1992421232037349,0.699128584399321,0.049023438741761544,0.12499618531243561
delta0.5_K512_radius0.125_transverse,0.007803957638204165,0.003125000000000001,0.16716216265941922,0.3740507742995082,0.7865325765270138,0.049023438741761544,0.12499618531243561
delta0.5_K512_radius0.015625_transverse,0.0009754947047755206,0.00039062500000000013,0.164907848676155,0.3959018556864799,0.7974580755429755,0.049023438741761544,0.12499618531243561
delta1_K32_radius1_transverse,0.062499046318407525,0.05,0.4225119022117104,0.1843831360580803,0.6833080889027202,0.03438008427698437,0.12402407293122353
delta1_K32_radius0.125_transverse,0.007812380789800941,0.00625,0.3675501636069488,0.3593804657496214,0.7707213614329861,0.03438008427698437,0.12402407293122353
delta1_K32_radius0.015625_transverse,0.0009765475987251176,0.00078125,0.36094911132041607,0.38125513196106403,0.7816480204992692,0.03438008427698437,0.12402407293122353
delta1_K128_radius1_transverse,0.0624999403953268,0.05,0.42250074386735836,0.19609402020587374,0.6960267888924861,0.046093829470919494,0.12493896732719101
delta1_K128_radius0.125_transverse,0.00781249254941585,0.00625,0.3675397562993852,0.3710938533127888,0.7835213650921659,0.046093829470919494,0.12493896732719101
delta1_K128_radius0.015625_transverse,0.0009765615686769813,0.00078125,0.360938797892451,0.3929688324511532,0.7944581871171258,0.046093829470919494,0.12493896732719101
delta1_K512_radius1_transverse,0.06249999627470959,0.05,0.42250004649162837,0.19902345066269084,0.6990192485458827,0.049023438741761544,0.12499618531243561
delta1_K512_radius0.125_transverse,0.007812499534338699,0.00625,0.3675391058623843,0.3740234402318777,0.7865189095453341,0.049023438741761544,0.12499618531243561
delta1_K512_radius0.015625_transverse,0.0009765624417923374,0.00078125,0.3609381533227913,0.39589843892802606,0.7974563671702656,0.049023438741761544,0.12499618531243561
delta0.5_K32_radius0_common,0.0,0.0,0.16647591270106382,0.3841728883182219,0.7832089717944525,0.03438008427698437,0.12402407293122353
delta0.5_K128_radius0_common,0.0,0.0,0.16508008278718417,0.39606793388838885,0.7960205902635488,0.046093829470919494,0.12493896732719101
delta0.5_K512_radius0_common,0.0,0.0,0.1645866374994065,0.39902020185506476,0.7990188611166843,0.049023438741761544,0.12499618531243561
delta1_K32_radius0_common,0.0,0.0,0.36001098666341147,0.3843434620656132,0.7832089717944525,0.03438008427698437,0.12402407293122353
delta1_K128_radius0_common,0.0,0.0,0.3600006866468176,0.3960915406481946,0.7960205902635488,0.046093829470919494,0.12493896732719101
delta1_K512_radius0_common,0.0,0.0,0.3600000429153495,0.399023295690597,0.7990188611166843,0.049023438741761544,0.12499618531243561
