config_id,gap,u,v,direct,formula,absolute_error,minimum_state_branch_margin
delta0.5_K32_radius1_transverse,-2.0,0.6880415798032725,0.6880415798032725,-1.9990040877033344,-1.9990040877033344,0.0,0.3841901905340717
delta0.5_K32_radius1_transverse,-2.0,0.6880415798032725,0.75,-1.9979100650379444,-1.9979100650379444,0.0,0.28534335900127406
delta0.5_K32_radius1_transverse,-2.0,0.6880415798032725,0.8119584201967275,-1.9968160423725543,-1.9968160423725543,0.0,0.18630663372556397
delta0.5_K32_radius1_transverse,-2.0,0.75,0.6880415798032725,-2.0000981103687243,-2.0000981103687243,0.0,0.3165831904473053
delta0.5_K32_radius1_transverse,-2.0,0.75,0.75,-1.9990040877033344,-1.9990040877033344,0.0,0.38417309052636656
delta0.5_K32_radius1_transverse,-2.0,0.75,0.8119584201967275,-1.9979100650379444,-1.9979100650379444,0.0,0.2853433590012743
delta0.5_K32_radius1_transverse,-2.0,0.8119584201967275,0.6880415798032725,-2.0011921330341145,-2.0011921330341145,0.0,0.21754646517159523
delta0.5_K32_radius1_transverse,-2.0,0.8119584201967275,0.75,-2.0000981103687248,-2.0000981103687243,4.440892098500626e-16,0.31658319044730554
delta0.5_K32_radius1_transverse,-2.0,0.8119584201967275,0.8119584201967275,-1.9990040877033344,-1.9990040877033344,0.0,0.3841559905186614
delta0.5_K32_radius1_transverse,-0.5,0.6880415798032725,0.6880415798032725,-0.4999035201830594,-0.4999035201830594,0.0,0.3959037618255695
delta0.5_K32_radius1_transverse,-0.5,0.6880415798032725,0.75,-0.49880849562468926,-0.49880849562468926,0.0,0.2969664075369356
delta0.5_K32_radius1_transverse,-0.5,0.6880415798032725,0.8119584201967275,-0.49771347106631914,-0.4977134710663192,5.551115123125783e-17,0.19783898560295193
delta0.5_K32_radius1_transverse,-0.5,0.75,0.6880415798032725,-0.5009985447414296,-0.5009985447414295,1.1102230246251565e-16,0.3047787485950966
delta0.5_K32_radius1_transverse,-0.5,0.75,0.75,-0.4999035201830594,-0.4999035201830594,0.0,0.39588664615788016
delta0.5_K32_radius1_transverse,-0.5,0.75,0.8119584201967275,-0.4988084956246893,-0.49880849562468926,5.551115123125783e-17,0.2969664075369358
delta0.5_K32_radius1_transverse,-0.5,0.8119584201967275,0.6880415798032725,-0.5020935692997996,-0.5020935692997996,0.0,0.20565132666111297
delta0.5_K32_radius1_transverse,-0.5,0.8119584201967275,0.75,-0.5009985447414296,-0.5009985447414295,1.1102230246251565e-16,0.30477874859509685
delta0.5_K32_radius1_transverse,-0.5,0.8119584201967275,0.8119584201967275,-0.4999035201830594,-0.4999035201830594,0.0,0.39586953049019075
delta0.5_K32_radius1_transverse,0.0,0.6880415798032725,0.6880415798032725,0.0,0.0,0.0,0.3998099207536056
delta0.5_K32_radius1_transverse,0.0,0.6880415798032725,0.75,0.0010950913947249032,0.0010950913947249032,0.0,0.3008665276852359
delta0.5_K32_radius1_transverse,0.0,0.6880415798032725,0.8119584201967275,0.0021901827894498056,0.0021901827894498065,8.673617379884035e-19,0.20173305537047204
delta0.5_K32_radius1_transverse,0.0,0.75,0.6880415798032725,-0.0010950913947249032,-0.0010950913947249032,0.0,0.3008665276852359
delta0.5_K32_radius1_transverse,0.0,0.75,0.75,0.0,0.0,0.0,0.3997928040412375
delta0.5_K32_radius1_transverse,0.0,0.75,0.8119584201967275,0.0010950913947249024,0.0010950913947249032,8.673617379884035e-19,0.30086652768523614
delta0.5_K32_radius1_transverse,0.0,0.8119584201967275,0.6880415798032725,-0.0021901827894498056,-0.0021901827894498065,8.673617379884035e-19,0.20173305537047204
delta0.5_K32_radius1_transverse,0.0,0.8119584201967275,0.75,-0.0010950913947249024,-0.0010950913947249032,8.673617379884035e-19,0.30086652768523614
delta0.5_K32_radius1_transverse,0.0,0.8119584201967275,0.8119584201967275,0.0,0.0,0.0,0.39977568732886937
delta0.5_K32_radius1_transverse,0.5,0.6880415798032725,0.6880415798032725,0.4999035201830594,0.4999035201830594,0.0,0.3959037618255695
delta0.5_K32_radius1_transverse,0.5,0.6880415798032725,0.75,0.5009985447414296,0.5009985447414295,1.1102230246251565e-16,0.3047787485950966
delta0.5_K32_radius1_transverse,0.5,0.6880415798032725,0.8119584201967275,0.5020935692997996,0.5020935692997996,0.0,0.20565132666111297
delta0.5_K32_radius1_transverse,0.5,0.75,0.6880415798032725,0.49880849562468926,0.49880849562468926,0.0,0.2969664075369356
delta0.5_K32_radius1_transverse,0.5,0.75,0.75,0.4999035201830594,0.4999035201830594,0.0,0.39588664615788016
delta0.5_K32_radius1_transverse,0.5,0.75,0.8119584201967275,0.5009985447414296,0.5009985447414295,1.1102230246251565e-16,0.30477874859509685
delta0.5_K32_radius1_transverse,0.5,0.8119584201967275,0.6880415798032725,0.49771347106631914,0.4977134710663192,5.551115123125783e-17,0.19783898560295193
delta0.5_K32_radius1_transverse,0.5,0.8119584201967275,0.75,0.4988084956246893,0.49880849562468926,5.551115123125783e-17,0.2969664075369358
delta0.5_K32_radius1_transverse,0.5,0.8119584201967275,0.8119584201967275,0.4999035201830594,0.4999035201830594,0.0,0.39586953049019075
delta0.5_K32_radius1_transverse,2.0,0.6880415798032725,0.6880415798032725,1.9990040877033344,1.9990040877033344,0.0,0.3841901905340717
delta0.5_K32_radius1_transverse,2.0,0.6880415798032725,0.75,2.0000981103687243,2.0000981103687243,0.0,0.3165831904473053
delta0.5_K32_radius1_transverse,2.0,0.6880415798032725,0.8119584201967275,2.0011921330341145,2.0011921330341145,0.0,0.21754646517159523
delta0.5_K32_radius1_transverse,2.0,0.75,0.6880415798032725,1.9979100650379444,1.9979100650379444,0.0,0.28534335900127406
delta0.5_K32_radius1_transverse,2.0,0.75,0.75,1.9990040877033344,1.9990040877033344,0.0,0.38417309052636656
delta0.5_K32_radius1_transverse,2.0,0.75,0.8119584201967275,2.0000981103687248,2.0000981103687243,4.440892098500626e-16,0.31658319044730554
delta0.5_K32_radius1_transverse,2.0,0.8119584201967275,0.6880415798032725,1.9968160423725543,1.9968160423725543,0.0,0.18630663372556397
delta0.5_K32_radius1_transverse,2.0,0.8119584201967275,0.75,1.9979100650379444,1.9979100650379444,0.0,0.2853433590012743
delta0.5_K32_radius1_transverse,2.0,0.8119584201967275,0.8119584201967275,1.9990040877033344,1.9990040877033344,0.0,0.3841559905186614
delta0.5_K32_radius0.125_transverse,-2.0,0.742255197475409,0.742255197475409,-1.9990040877033344,-1.9990040877033344,0.0,0.38417522802732973
delta0.5_K32_radius0.125_transverse,-2.0,0.742255197475409,0.75,-1.9988673348701607,-1.9988673348701607,0.0,0.37200049361752047
